timestamp,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,abAccX,abAccY,abAccZ,abGyrX,abGyrY,abGyrZ,labels,operational_status,total_kinetic_shock_g
15363852.0,0.0,0.02,0.0,0.0,3.51,3.51,0.0,0.0,-0.00046311,-0.0013428,-9.817147,0.00013579,0.000135,0.0002321,0,0_NORMAL_FLIGHT,9.8171
15413832.0,0.0,0.02,0.0,0.0,3.525,3.525,0.0,0.0,-0.00052282,-0.00019193,-9.816688,0.00016472,0.00014985,0.00022841,0,0_NORMAL_FLIGHT,9.8167
15463812.0,0.0,0.02,0.0,0.0,3.54,3.54,0.0,0.0,-0.00162987,-0.00044639,-9.81665,0.00016693,0.0002111,0.00027411,0,0_NORMAL_FLIGHT,9.8167
15513792.0,0.0,0.02,0.0,0.0,3.55,3.55,0.0,0.0,-0.00218636,-0.00223662,-9.816851,0.00020419,0.00024179,0.00025452,0,0_NORMAL_FLIGHT,9.8169
15563772.0,0.0,0.02,0.0,0.0,3.56,3.56,0.0,0.0,-0.00188437,-0.00167402,-9.81715,0.000195,0.00026858,0.00018583,0,0_NORMAL_FLIGHT,9.8172
15613752.0,0.0,0.02,0.0,0.0,3.57,3.57,0.0,0.0,-0.00107017,-0.00068162,-9.817696,0.00017714,0.00020531,0.0002099,0,0_NORMAL_FLIGHT,9.8177
15663732.0,0.0,0.02,0.0,0.0,3.58,3.58,0.0,0.0,0.00066201,-0.00046092,-9.817172,0.00019581,0.00015505,0.00020709,0,0_NORMAL_FLIGHT,9.8172
15713712.0,0.0,0.02,0.0,0.0,3.59,3.59,0.0,0.0,-0.00130172,-0.00148541,-9.816887,0.00021482,0.00020432,0.00021568,0,0_NORMAL_FLIGHT,9.8169
15763692.0,0.0,0.02,0.0,0.0,3.6,3.6,0.0,0.0,-0.00076575,-0.00161148,-9.818167,0.00016637,0.0001481,0.00021527,0,0_NORMAL_FLIGHT,9.8182
15813672.0,0.0,0.02,0.0,0.0,3.605,3.605,0.0,0.0,0.00038121,-0.00140102,-9.817821,0.00019892,0.0002468,0.00012552,0,0_NORMAL_FLIGHT,9.8178
15863652.0,0.0,0.02,0.0,0.0,3.61,3.61,0.0,0.0,-0.00071986,-0.00060752,-9.817113,0.00020761,0.00022757,0.00025435,0,0_NORMAL_FLIGHT,9.8171
15913632.0,0.0,0.02,0.0,0.0,3.62,3.62,0.0,0.0,-0.00062233,-0.00047767,-9.81682,0.00026931,0.00017117,0.00016265,0,0_NORMAL_FLIGHT,9.8168
15963612.0,0.0,0.02,0.0,0.0,3.63,3.63,0.0,0.0,-0.00176604,-0.00080809,-9.818518,0.00018718,0.00025857,0.00018919,0,0_NORMAL_FLIGHT,9.8185
16013592.0,0.0,0.02,0.0,0.0,3.635,3.635,0.0,0.0,-0.00132545,-0.00091914,-9.818045,0.00028346,0.0001699,0.00022475,0,0_NORMAL_FLIGHT,9.818
16063572.0,0.0,0.02,0.0,0.0,3.64,3.64,0.0,0.0,-0.00204341,-0.00123892,-9.817552,0.00022257,0.00021477,0.00019972,0,0_NORMAL_FLIGHT,9.8176
16113552.0,0.0,0.02,0.0,0.0,3.645,3.645,0.0,0.0,-0.0008524,-0.00094593,-9.818672,0.00023188,0.0002251,0.00019837,0,0_NORMAL_FLIGHT,9.8187
16163532.0,0.0,0.02,0.0,0.0,3.65,3.65,0.0,0.0,-0.00138934,-0.00093525,-9.817356,0.00013684,0.00019609,0.00021673,0,0_NORMAL_FLIGHT,9.8174
16213512.0,0.0,0.02,0.0,0.005,3.655,3.655,0.0,0.0,2.244e-05,-0.00154289,-9.818151,0.00016694,0.00019318,0.0002493,0,0_NORMAL_FLIGHT,9.8182
16263492.0,0.0,0.02,0.0,0.01,3.66,3.66,0.0,0.0,-0.0019884,-0.00025665,-9.817297,9.664e-05,0.0001082,0.00032578,0,0_NORMAL_FLIGHT,9.8173
16313472.0,0.0,0.02,0.0,0.01,3.665,3.665,0.0,0.0,-0.00078213,-0.00201088,-9.817229,0.00019034,0.0001543,0.00019967,0,0_NORMAL_FLIGHT,9.8172
16363452.0,0.0,0.02,0.0,0.01,3.67,3.67,0.0,0.0,-0.00061553,-0.00076646,-9.817011,0.00017813,0.00016837,0.00025298,0,0_NORMAL_FLIGHT,9.817
16413432.0,0.0,0.02,0.0,0.01,3.675,3.675,0.0,0.0,-0.00185593,-0.00070127,-9.817087,0.00020868,0.0001994,0.00024965,0,0_NORMAL_FLIGHT,9.8171
16463412.0,0.0,0.02,0.0,0.01,3.68,3.68,0.0,0.0,-0.00016413,-0.00098202,-9.817739,0.00022336,0.00014483,0.00020507,0,0_NORMAL_FLIGHT,9.8177
16513392.0,0.0,0.02,0.0,0.01,3.685,3.685,0.0,0.0,-0.00196776,-0.00163556,-9.817288,0.00019044,0.00014594,0.00028115,0,0_NORMAL_FLIGHT,9.8173
16563372.0,0.0,0.02,0.0,0.01,3.69,3.69,0.0,0.0,-0.00198397,-0.00287801,-9.81838,0.00018955,0.00014075,0.00029297,0,0_NORMAL_FLIGHT,9.8184
16613352.0,0.0,0.02,0.0,0.01,3.69,3.69,0.0,0.0,-0.00088273,-0.00084416,-9.817721,0.00021091,0.00019565,0.00021704,0,0_NORMAL_FLIGHT,9.8177
16663332.0,0.0,0.02,0.0,0.01,3.69,3.69,0.0,0.0,-0.00097127,-0.00196943,-9.816832,0.00017653,0.00027011,0.00018978,0,0_NORMAL_FLIGHT,9.8168
16713312.0,0.0,0.02,0.0,0.01,3.695,3.695,0.0,0.0,-0.00194673,-0.00074627,-9.817307,0.00016976,0.00021712,0.00028091,0,0_NORMAL_FLIGHT,9.8173
16763292.0,0.0,0.02,0.0,0.01,3.7,3.7,0.0,0.0,-0.00107274,-0.00090336,-9.817468,0.00017816,0.00021796,0.00023681,0,0_NORMAL_FLIGHT,9.8175
16813688.5,0.0,0.02,0.0,0.01,3.705,3.705,0.0,0.0,-0.00246776,-0.00089964,-9.817623,0.00028189,0.00026334,0.00025562,0,0_NORMAL_FLIGHT,9.8176
16864085.0,0.0,0.02,0.0,0.01,3.71,3.71,0.0,0.0,-0.0012365,-0.00260661,-9.817698,0.00020634,0.00024585,0.00024053,0,0_NORMAL_FLIGHT,9.8177
16914065.0,0.0,0.02,0.0,0.01,3.71,3.71,0.0,0.0,-0.00109573,-0.00058385,-9.816985,0.00025253,0.0002014,0.00023491,0,0_NORMAL_FLIGHT,9.817
16964045.0,0.0,0.02,0.0,0.01,3.71,3.71,0.0,0.0,-0.00041585,-0.00098597,-9.818119,0.0002198,0.0001766,0.00032464,0,0_NORMAL_FLIGHT,9.8181
17014025.0,0.0,0.02,0.0,0.01,3.715,3.715,0.0,0.0,-0.00165084,-0.00094842,-9.818033,0.00022628,0.00019103,0.000233,0,0_NORMAL_FLIGHT,9.818
17064005.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.0009018,-0.00156247,-9.817067,0.00027579,0.00013433,0.00023761,0,0_NORMAL_FLIGHT,9.8171
17113985.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.0012373,-0.00123364,-9.817915,0.00019957,0.00018837,0.00024024,0,0_NORMAL_FLIGHT,9.8179
17163965.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.00088689,-0.00088974,-9.817675,0.000188,0.00015203,0.00017454,0,0_NORMAL_FLIGHT,9.8177
17213945.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.00057772,-0.00093806,-9.817782,0.00024534,0.00025973,0.00019751,0,0_NORMAL_FLIGHT,9.8178
17263925.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.0017966,-0.00188539,-9.817609,0.00015201,0.0002414,0.0002529,0,0_NORMAL_FLIGHT,9.8176
17313905.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.00177148,-0.00152906,-9.81793,0.00025184,0.0002866,0.00023513,0,0_NORMAL_FLIGHT,9.8179
17363885.0,0.0,0.02,0.0,0.01,3.72,3.72,0.0,0.0,-0.001556,-0.00103442,-9.817953,0.0001814,0.00024763,0.00027267,0,0_NORMAL_FLIGHT,9.818
17413865.0,0.0,0.02,0.0,0.01,3.715,3.715,0.0,0.0,-0.00070264,-0.00168872,-9.816875,0.0002478,0.00021016,0.00020591,0,0_NORMAL_FLIGHT,9.8169
17463845.0,0.0,0.02,0.0,0.01,3.71,3.71,0.0,0.0,-0.00242235,-0.00125065,-9.817476,0.00022513,0.00021861,0.00020536,0,0_NORMAL_FLIGHT,9.8175
17513825.0,0.0,0.02,0.0,0.01,3.71,3.71,0.0,0.0,-0.00023947,-0.00115485,-9.817962,0.0002263,0.00019552,0.00024137,0,0_NORMAL_FLIGHT,9.818
17563805.0,0.0,0.02,0.0,0.01,3.71,3.71,0.0,0.0,-0.00214992,-0.00078288,-9.817819,0.00025369,0.00019917,0.00018843,0,0_NORMAL_FLIGHT,9.8178
